unnamed:_0,year_label,export_value,year,export_value_eur_million,category
Animal Feed,cy_2014_value,275833946,2014,275833946.0,Animal Feed
Animal Feed,cy_2014_tonnes,592343868.0,2014,592343868.0,Animal Feed
Animal Skins & Furs,cy_2014_value,165899703,2014,165899703.0,Animal Skins & Furs
Animal Skins & Furs,cy_2014_tonnes,84111347.0,2014,84111347.0,Animal Skins & Furs
Beef,cy_2014_value,2131278919,2014,2131278919.0,Beef
Beef,cy_2014_tonnes,509900120.0,2014,509900120.0,Beef
Beverages,cy_2014_value,1081305684,2014,1081305684.0,Beverages
Beverages,cy_2014_tonnes,738482119.0,2014,738482119.0,Beverages
Cereal & cereal preparation,cy_2014_value,322801212,2014,322801212.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2014_tonnes,211130677.0,2014,211130677.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2014_value,354280774,2014,354280774.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2014_tonnes,53778251.0,2014,53778251.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2014_value,109179725,2014,109179725.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2014_tonnes,93446884.0,2014,93446884.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2014_value,3874034126,2014,3874034126.0,Dairy Produce
Dairy Produce,cy_2014_tonnes,1114649483.0,2014,1114649483.0,Dairy Produce
Egg,cy_2014_value,16395700,2014,16395700.0,Egg
Egg,cy_2014_tonnes,6098519.0,2014,6098519.0,Egg
Fish,cy_2014_value,531577630,2014,531577630.0,Fish
Fish,cy_2014_tonnes,259511469.0,2014,259511469.0,Fish
Forestry & Wood products,cy_2014_value,394080580,2014,394080580.0,Forestry & Wood products
Forestry & Wood products,cy_2014_tonnes,1169882096.0,2014,1169882096.0,Forestry & Wood products
Fruit & Vegetables,cy_2014_value,170674527,2014,170674527.0,Fruit & Vegetables
Fruit & Vegetables,cy_2014_tonnes,91268255.0,2014,91268255.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2014_value,92385352,2014,92385352.0,Fruit & Vegetables Based Products
Fruit & Vegetables Based Products,cy_2014_tonnes,68600737.0,2014,68600737.0,Fruit & Vegetables Based Products
Grand Total,cy_2014_value,11574071609,2014,11574071609.0,Grand Total
Grand Total,cy_2014_tonnes,5767495599.0,2014,5767495599.0,Grand Total
Live Animals,cy_2014_value,405101480,2014,405101480.0,Live Animals
