freq,am_item,indic_agr,unit,geo\TIME_PERIOD,year,value
A,AM010000,PRD_BP,MIO_EUR,IE,1973,
A,AM010000,PRD_BP,MIO_NAC,IE,1973,
A,AM010000,PRD_BP,MIO_PPS,IE,1973,
A,AM010000,PRD_PP,MIO_EUR,IE,1973,
A,AM010000,PRD_PP,MIO_NAC,IE,1973,
A,AM010000,PRD_PP,MIO_PPS,IE,1973,
A,AM010000,SUB,MIO_EUR,IE,1973,
A,AM010000,SUB,MIO_NAC,IE,1973,
A,AM010000,SUB,MIO_PPS,IE,1973,
A,AM010000,TAX,MIO_EUR,IE,1973,
A,AM010000,TAX,MIO_NAC,IE,1973,
A,AM010000,TAX,MIO_PPS,IE,1973,
A,AM011000,PRD_BP,MIO_EUR,IE,1973,
A,AM011000,PRD_BP,MIO_NAC,IE,1973,
A,AM011000,PRD_BP,MIO_PPS,IE,1973,
A,AM011000,PRD_PP,MIO_EUR,IE,1973,
A,AM011000,PRD_PP,MIO_NAC,IE,1973,
A,AM011000,PRD_PP,MIO_PPS,IE,1973,
A,AM011000,SUB,MIO_EUR,IE,1973,
A,AM011000,SUB,MIO_NAC,IE,1973,
A,AM011000,SUB,MIO_PPS,IE,1973,
A,AM011000,TAX,MIO_EUR,IE,1973,
A,AM011000,TAX,MIO_NAC,IE,1973,
A,AM011000,TAX,MIO_PPS,IE,1973,
A,AM011100,PRD_BP,MIO_EUR,IE,1973,
A,AM011100,PRD_BP,MIO_NAC,IE,1973,
A,AM011100,PRD_BP,MIO_PPS,IE,1973,
A,AM011100,PRD_PP,MIO_EUR,IE,1973,
A,AM011100,PRD_PP,MIO_NAC,IE,1973,
A,AM011100,PRD_PP,MIO_PPS,IE,1973,
A,AM011100,SUB,MIO_EUR,IE,1973,
A,AM011100,SUB,MIO_NAC,IE,1973,
A,AM011100,SUB,MIO_PPS,IE,1973,
A,AM011100,TAX,MIO_EUR,IE,1973,
A,AM011100,TAX,MIO_NAC,IE,1973,
A,AM011100,TAX,MIO_PPS,IE,1973,
A,AM011200,PRD_BP,MIO_EUR,IE,1973,
A,AM011200,PRD_BP,MIO_NAC,IE,1973,
A,AM011200,PRD_BP,MIO_PPS,IE,1973,
A,AM011200,PRD_PP,MIO_EUR,IE,1973,
A,AM011200,PRD_PP,MIO_NAC,IE,1973,
A,AM011200,PRD_PP,MIO_PPS,IE,1973,
A,AM011200,SUB,MIO_EUR,IE,1973,
A,AM011200,SUB,MIO_NAC,IE,1973,
A,AM011200,SUB,MIO_PPS,IE,1973,
A,AM011200,TAX,MIO_EUR,IE,1973,
A,AM011200,TAX,MIO_NAC,IE,1973,
A,AM011200,TAX,MIO_PPS,IE,1973,
A,AM012000,PRD_BP,MIO_EUR,IE,1973,
A,AM012000,PRD_BP,MIO_NAC,IE,1973,
A,AM012000,PRD_BP,MIO_PPS,IE,1973,
A,AM012000,PRD_PP,MIO_EUR,IE,1973,
A,AM012000,PRD_PP,MIO_NAC,IE,1973,
A,AM012000,PRD_PP,MIO_PPS,IE,1973,
A,AM012000,SUB,MIO_EUR,IE,1973,
A,AM012000,SUB,MIO_NAC,IE,1973,
A,AM012000,SUB,MIO_PPS,IE,1973,
A,AM012000,TAX,MIO_EUR,IE,1973,
A,AM012000,TAX,MIO_NAC,IE,1973,
A,AM012000,TAX,MIO_PPS,IE,1973,
A,AM013000,PRD_BP,MIO_EUR,IE,1973,
A,AM013000,PRD_BP,MIO_NAC,IE,1973,
A,AM013000,PRD_BP,MIO_PPS,IE,1973,
A,AM013000,PRD_PP,MIO_EUR,IE,1973,
A,AM013000,PRD_PP,MIO_NAC,IE,1973,
A,AM013000,PRD_PP,MIO_PPS,IE,1973,
A,AM013000,SUB,MIO_EUR,IE,1973,
A,AM013000,SUB,MIO_NAC,IE,1973,
A,AM013000,SUB,MIO_PPS,IE,1973,
A,AM013000,TAX,MIO_EUR,IE,1973,
A,AM013000,TAX,MIO_NAC,IE,1973,
A,AM013000,TAX,MIO_PPS,IE,1973,
A,AM014000,PRD_BP,MIO_EUR,IE,1973,
A,AM014000,PRD_BP,MIO_NAC,IE,1973,
A,AM014000,PRD_BP,MIO_PPS,IE,1973,
A,AM014000,PRD_PP,MIO_EUR,IE,1973,
A,AM014000,PRD_PP,MIO_NAC,IE,1973,
A,AM014000,PRD_PP,MIO_PPS,IE,1973,
A,AM014000,SUB,MIO_EUR,IE,1973,
A,AM014000,SUB,MIO_NAC,IE,1973,
A,AM014000,SUB,MIO_PPS,IE,1973,
A,AM014000,TAX,MIO_EUR,IE,1973,
A,AM014000,TAX,MIO_NAC,IE,1973,
A,AM014000,TAX,MIO_PPS,IE,1973,
A,AM015000,PRD_BP,MIO_EUR,IE,1973,
A,AM015000,PRD_BP,MIO_NAC,IE,1973,
A,AM015000,PRD_BP,MIO_PPS,IE,1973,
A,AM015000,PRD_PP,MIO_EUR,IE,1973,
A,AM015000,PRD_PP,MIO_NAC,IE,1973,
A,AM015000,PRD_PP,MIO_PPS,IE,1973,
A,AM015000,SUB,MIO_EUR,IE,1973,
A,AM015000,SUB,MIO_NAC,IE,1973,
A,AM015000,SUB,MIO_PPS,IE,1973,
A,AM015000,TAX,MIO_EUR,IE,1973,
A,AM015000,TAX,MIO_NAC,IE,1973,
A,AM015000,TAX,MIO_PPS,IE,1973,
A,AM016000,PRD_BP,MIO_EUR,IE,1973,
A,AM016000,PRD_BP,MIO_NAC,IE,1973,
A,AM016000,PRD_BP,MIO_PPS,IE,1973,
A,AM016000,PRD_PP,MIO_EUR,IE,1973,
A,AM016000,PRD_PP,MIO_NAC,IE,1973,
