indicator_code,indicator_name,country_code,country,year,value
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2025,
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2024,125734503064.3
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2023,131973192343.777
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2022,112576717246.95
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2021,109573801252.521
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2020,84307648275.0384
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2019,78772031121.1664
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2018,84736124291.8167
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2017,94933885402.5297
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2016,87833706981.7442
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2015,77840229289.5179
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2014,106238887980.389
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2013,111447154125.351
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2012,102758806758.56
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2011,113594412707.158
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2010,90910397725.5778
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2009,74627656551.0919
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2008,77464150541.2691
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2007,61709354845.0493
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2006,48403772185.2665
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2005,41471394556.3071
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2004,37917325438.3347
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2003,34427303082.0226
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2002,27912692470.5143
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2001,26885058532.6992
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,2000,31136803821.0568
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1999,27859260100.027
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1998,41026659683.101
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1997,41378637645.5403
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1996,40551829349.9816
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1995,38556420521.6652
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1994,45822702615.4552
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1993,24963490171.4875
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1992,22336751196.2862
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1991,23439231558.7396
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1990,27207931712.3012
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1989,34862980954.2524
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1988,30163921217.6184
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1987,26498422995.2422
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1986,26580748796.1438
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1985,23503326311.9943
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1984,22332096135.2074
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1983,19072049434.7521
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1982,15326680532.2037
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1981,29544803216.8382
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1980,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1979,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1978,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1977,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1976,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1975,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1974,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1973,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1972,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1971,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1970,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1969,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1968,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1967,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1966,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1965,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1964,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1963,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1962,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1961,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,BRA,Brazil,1960,0.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,DEU,Germany,2025,
NV.AGR.TOTL.CD,agri_value_added_current_usd,DEU,Germany,2024,42844948475.0
NV.AGR.TOTL.CD,agri_value_added_current_usd,DEU,Germany,2023,42390055270.589
NV.AGR.TOTL.CD,agri_value_added_current_usd,DEU,Germany,2022,41784969961.0897
NV.AGR.TOTL.CD,agri_value_added_current_usd,DEU,Germany,2021,32834053748.0615
